Iniciando Collapse:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 250
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T8): 10.00%	ODs: 125/10000(001%)	Tempo: 4.86495
Progresso (T4): 70.00%	ODs: 6750/10000(068%)	Tempo: 36.93785
Progresso (T7): 70.00%	ODs: 6875/10000(069%)	Tempo: 38.18023
Progresso (T6): 70.00%	ODs: 7000/10000(070%)	Tempo: 38.48681
Progresso (T8): 80.00%	ODs: 7125/10000(071%)	Tempo: 39.50252
Progresso (T3): 80.00%	ODs: 7250/10000(073%)	Tempo: 40.72363
Progresso (T2): 80.00%	ODs: 7375/10000(074%)	Tempo: 41.04762
Progresso (T1): 80.00%	ODs: 7500/10000(075%)	Tempo: 41.78562
Progresso (T5): 80.00%	ODs: 7625/10000(076%)	Tempo: 42.03640
Progresso (T4): 80.00%	ODs: 7750/10000(078%)	Tempo: 42.20300
Progresso (T7): 80.00%	ODs: 7875/10000(079%)	Tempo: 43.44973
Progresso (T6): 80.00%	ODs: 8000/10000(080%)	Tempo: 43.91630
Progresso (T8): 90.00%	ODs: 8125/10000(081%)	Tempo: 44.49010
Progresso (T3): 90.00%	ODs: 8250/10000(083%)	Tempo: 45.87266
Progresso (T2): 90.00%	ODs: 8375/10000(084%)	Tempo: 46.24994
Progresso (T5): 90.00%	ODs: 8500/10000(085%)	Tempo: 47.23079
Progresso (T1): 90.00%	ODs: 8625/10000(086%)	Tempo: 47.28531
Progresso (T4): 90.00%	ODs: 8750/10000(088%)	Tempo: 47.89202
Progresso (T7): 90.00%	ODs: 8875/10000(089%)	Tempo: 48.81464
Progresso (T6): 90.00%	ODs: 9000/10000(090%)	Tempo: 49.24809
Progresso (T8): 100.00%	ODs: 9125/10000(091%)	Tempo: 49.27986
		Fim: T8
Progresso (T3): 100.00%	ODs: 9250/10000(093%)	Tempo: 50.84390
		Fim: T3
Progresso (T2): 100.00%	ODs: 9375/10000(094%)	Tempo: 50.89400
		Fim: T2
Progresso (T5): 100.00%	ODs: 9500/10000(095%)	Tempo: 52.05891
		Fim: T5
Progresso (T1): 100.00%	ODs: 9625/10000(096%)	Tempo: 52.18145
		Fim: T1
Progresso (T4): 100.00%	ODs: 9750/10000(098%)	Tempo: 52.77906
		Fim: T4
Progresso (T7): 100.00%	ODs: 9875/10000(099%)	Tempo: 53.35700
		Fim: T7
Progresso (T6): 100.00%	ODs: 10000/10000(100%)	Tempo: 53.79605
		Fim: T6

Quantidade de rotas: 10000
Status: Found Qtd.: 9984
Status: SourceAndTargetAreToCloseToCollapse Qtd.: 16
Tempo decorrido para Collapse para 250 metros = 415.190235088333
para o arquivo: Mumbai-network-osm-2019-1_2

