Iniciando BruteForce:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 200
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T7): 10.00%	ODs: 125/10000(001%)	Tempo: 292.77603
Progresso (T7): 60.00%	ODs: 5750/10000(058%)	Tempo: 2229.63873
Progresso (T5): 60.00%	ODs: 5875/10000(059%)	Tempo: 2258.23479
Progresso (T4): 60.00%	ODs: 6000/10000(060%)	Tempo: 2280.26233
Progresso (T1): 70.00%	ODs: 6125/10000(061%)	Tempo: 2374.27111
Progresso (T2): 70.00%	ODs: 6250/10000(063%)	Tempo: 2391.00285
Progresso (T3): 70.00%	ODs: 6375/10000(064%)	Tempo: 2425.55993
Progresso (T8): 70.00%	ODs: 6500/10000(065%)	Tempo: 2502.58732
Progresso (T6): 70.00%	ODs: 6625/10000(066%)	Tempo: 2586.81559
Progresso (T4): 70.00%	ODs: 6750/10000(068%)	Tempo: 2588.71435
Progresso (T7): 70.00%	ODs: 6875/10000(069%)	Tempo: 2617.31133
Progresso (T5): 70.00%	ODs: 7000/10000(070%)	Tempo: 2631.80656
Progresso (T3): 80.00%	ODs: 7125/10000(071%)	Tempo: 2725.43696
Progresso (T2): 80.00%	ODs: 7250/10000(073%)	Tempo: 2791.76174
Progresso (T1): 80.00%	ODs: 7375/10000(074%)	Tempo: 2800.83979
Progresso (T8): 80.00%	ODs: 7500/10000(075%)	Tempo: 2845.36288
Progresso (T6): 80.00%	ODs: 7625/10000(076%)	Tempo: 2910.98027
Progresso (T4): 80.00%	ODs: 7750/10000(078%)	Tempo: 2943.61645
Progresso (T5): 80.00%	ODs: 7875/10000(079%)	Tempo: 3030.22029
Progresso (T7): 80.00%	ODs: 8000/10000(080%)	Tempo: 3032.93664
Progresso (T3): 90.00%	ODs: 8125/10000(081%)	Tempo: 3046.62586
Progresso (T2): 90.00%	ODs: 8250/10000(083%)	Tempo: 3135.24324
Progresso (T1): 90.00%	ODs: 8375/10000(084%)	Tempo: 3150.36900
Progresso (T6): 90.00%	ODs: 8500/10000(085%)	Tempo: 3167.53544
Progresso (T4): 90.00%	ODs: 8625/10000(086%)	Tempo: 3231.44255
Progresso (T8): 90.00%	ODs: 8750/10000(088%)	Tempo: 3278.17816
Progresso (T3): 100.00%	ODs: 8875/10000(089%)	Tempo: 3382.95847
		Fim: T3
Progresso (T5): 90.00%	ODs: 9000/10000(090%)	Tempo: 3394.08311
Progresso (T7): 90.00%	ODs: 9125/10000(091%)	Tempo: 3451.65095
Progresso (T2): 100.00%	ODs: 9250/10000(093%)	Tempo: 3494.26713
		Fim: T2
Progresso (T1): 100.00%	ODs: 9375/10000(094%)	Tempo: 3551.72438
		Fim: T1
Progresso (T6): 100.00%	ODs: 9500/10000(095%)	Tempo: 3573.74355
		Fim: T6
Progresso (T4): 100.00%	ODs: 9625/10000(096%)	Tempo: 3599.37515
		Fim: T4
Progresso (T8): 100.00%	ODs: 9750/10000(098%)	Tempo: 3627.83367
		Fim: T8
Progresso (T5): 100.00%	ODs: 9875/10000(099%)	Tempo: 3736.92911
		Fim: T5
Progresso (T7): 100.00%	ODs: 10000/10000(100%)	Tempo: 3760.83991
		Fim: T7

Quantidade de rotas: 10000
Status: Found Qtd.: 10000
Tempo decorrido para BruteForce para 200 metros = 28727.6713595183
para o arquivo: Fortaleza-network-osm-2019-1_1

