Iniciando BruteForce:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 50
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T3): 10.00%	ODs: 125/10000(001%)	Tempo: 5.43465
Progresso (T4): 60.00%	ODs: 5875/10000(059%)	Tempo: 41.30163
Progresso (T5): 60.00%	ODs: 6000/10000(060%)	Tempo: 41.87223
Progresso (T7): 60.00%	ODs: 6125/10000(061%)	Tempo: 42.51190
Progresso (T3): 70.00%	ODs: 6250/10000(063%)	Tempo: 44.42899
Progresso (T1): 80.00%	ODs: 6375/10000(064%)	Tempo: 46.24057
Progresso (T8): 70.00%	ODs: 6500/10000(065%)	Tempo: 46.39225
Progresso (T2): 70.00%	ODs: 6625/10000(066%)	Tempo: 46.54148
Progresso (T4): 70.00%	ODs: 6750/10000(068%)	Tempo: 46.67672
Progresso (T6): 70.00%	ODs: 6875/10000(069%)	Tempo: 47.77107
Progresso (T5): 70.00%	ODs: 7000/10000(070%)	Tempo: 48.17163
Progresso (T7): 70.00%	ODs: 7125/10000(071%)	Tempo: 48.47445
Progresso (T3): 80.00%	ODs: 7250/10000(073%)	Tempo: 49.61491
Progresso (T1): 90.00%	ODs: 7375/10000(074%)	Tempo: 52.12201
Progresso (T6): 80.00%	ODs: 7500/10000(075%)	Tempo: 52.72325
Progresso (T4): 80.00%	ODs: 7625/10000(076%)	Tempo: 52.81357
Progresso (T8): 80.00%	ODs: 7750/10000(078%)	Tempo: 53.66786
Progresso (T2): 80.00%	ODs: 7875/10000(079%)	Tempo: 53.77512
Progresso (T5): 80.00%	ODs: 8000/10000(080%)	Tempo: 53.91608
Progresso (T7): 80.00%	ODs: 8125/10000(081%)	Tempo: 53.97412
Progresso (T6): 90.00%	ODs: 8250/10000(083%)	Tempo: 56.73147
Progresso (T4): 90.00%	ODs: 8375/10000(084%)	Tempo: 57.00229
Progresso (T3): 90.00%	ODs: 8500/10000(085%)	Tempo: 58.27057
Progresso (T1): 100.00%	ODs: 8625/10000(086%)	Tempo: 58.57415
		Fim: T1
Progresso (T2): 90.00%	ODs: 8750/10000(088%)	Tempo: 60.25845
Progresso (T5): 90.00%	ODs: 8875/10000(089%)	Tempo: 60.56945
Progresso (T8): 90.00%	ODs: 9000/10000(090%)	Tempo: 61.71344
Progresso (T6): 100.00%	ODs: 9125/10000(091%)	Tempo: 62.87549
		Fim: T6
Progresso (T7): 90.00%	ODs: 9250/10000(093%)	Tempo: 63.12232
Progresso (T4): 100.00%	ODs: 9375/10000(094%)	Tempo: 64.31421
		Fim: T4
Progresso (T3): 100.00%	ODs: 9500/10000(095%)	Tempo: 64.33170
		Fim: T3
Progresso (T2): 100.00%	ODs: 9625/10000(096%)	Tempo: 65.14994
		Fim: T2
Progresso (T5): 100.00%	ODs: 9750/10000(098%)	Tempo: 66.26085
		Fim: T5
Progresso (T8): 100.00%	ODs: 9875/10000(099%)	Tempo: 67.14035
		Fim: T8
Progresso (T7): 100.00%	ODs: 10000/10000(100%)	Tempo: 69.20859
		Fim: T7

Quantidade de rotas: 10000
Status: Found Qtd.: 10000
Tempo decorrido para BruteForce para 50 metros = 517.85527306
para o arquivo: Fortaleza-network-osm-2019-1_1

