Iniciando Collapse:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 150
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T8): 10.00%	ODs: 125/10000(001%)	Tempo: 2.56640
Progresso (T5): 30.00%	ODs: 3000/10000(030%)	Tempo: 8.36379
Progresso (T2): 40.00%	ODs: 3125/10000(031%)	Tempo: 10.50165
Progresso (T1): 40.00%	ODs: 3250/10000(033%)	Tempo: 10.76126
Progresso (T7): 40.00%	ODs: 3375/10000(034%)	Tempo: 10.78205
Progresso (T8): 40.00%	ODs: 3500/10000(035%)	Tempo: 10.84992
Progresso (T3): 40.00%	ODs: 3625/10000(036%)	Tempo: 10.87159
Progresso (T4): 40.00%	ODs: 3750/10000(038%)	Tempo: 10.99936
Progresso (T5): 40.00%	ODs: 3875/10000(039%)	Tempo: 11.06458
Progresso (T6): 40.00%	ODs: 4000/10000(040%)	Tempo: 11.10209
Progresso (T2): 50.00%	ODs: 4125/10000(041%)	Tempo: 13.02829
Progresso (T1): 50.00%	ODs: 4250/10000(043%)	Tempo: 13.30649
Progresso (T7): 50.00%	ODs: 4375/10000(044%)	Tempo: 13.37104
Progresso (T3): 50.00%	ODs: 4500/10000(045%)	Tempo: 13.50460
Progresso (T8): 50.00%	ODs: 4625/10000(046%)	Tempo: 13.50032
Progresso (T4): 50.00%	ODs: 4750/10000(048%)	Tempo: 13.73168
Progresso (T5): 50.00%	ODs: 4875/10000(049%)	Tempo: 13.82060
Progresso (T6): 50.00%	ODs: 5000/10000(050%)	Tempo: 13.96454
Progresso (T2): 60.00%	ODs: 5125/10000(051%)	Tempo: 15.70437
Progresso (T1): 60.00%	ODs: 5250/10000(053%)	Tempo: 15.92131
Progresso (T3): 60.00%	ODs: 5375/10000(054%)	Tempo: 16.07522
Progresso (T7): 60.00%	ODs: 5500/10000(055%)	Tempo: 16.09917
Progresso (T8): 60.00%	ODs: 5625/10000(056%)	Tempo: 16.09651
Progresso (T4): 60.00%	ODs: 5750/10000(058%)	Tempo: 16.38778
Progresso (T6): 60.00%	ODs: 5875/10000(059%)	Tempo: 16.53661
Progresso (T5): 60.00%	ODs: 6000/10000(060%)	Tempo: 16.58404
Progresso (T2): 70.00%	ODs: 6125/10000(061%)	Tempo: 18.32773
Progresso (T1): 70.00%	ODs: 6250/10000(063%)	Tempo: 18.59855
Progresso (T8): 70.00%	ODs: 6375/10000(064%)	Tempo: 18.66912
Progresso (T3): 70.00%	ODs: 6500/10000(065%)	Tempo: 18.71729
Progresso (T7): 70.00%	ODs: 6625/10000(066%)	Tempo: 18.70974
Progresso (T4): 70.00%	ODs: 6750/10000(068%)	Tempo: 18.94390
Progresso (T5): 70.00%	ODs: 6875/10000(069%)	Tempo: 19.16392
Progresso (T6): 70.00%	ODs: 7000/10000(070%)	Tempo: 19.27058
Progresso (T2): 80.00%	ODs: 7125/10000(071%)	Tempo: 20.94428
Progresso (T1): 80.00%	ODs: 7250/10000(073%)	Tempo: 21.22845
Progresso (T8): 80.00%	ODs: 7375/10000(074%)	Tempo: 21.28383
Progresso (T7): 80.00%	ODs: 7500/10000(075%)	Tempo: 21.30581
Progresso (T4): 80.00%	ODs: 7625/10000(076%)	Tempo: 21.55269
Progresso (T3): 80.00%	ODs: 7750/10000(078%)	Tempo: 21.56569
Progresso (T5): 80.00%	ODs: 7875/10000(079%)	Tempo: 21.91386
Progresso (T6): 80.00%	ODs: 8000/10000(080%)	Tempo: 22.07111
Progresso (T2): 90.00%	ODs: 8125/10000(081%)	Tempo: 23.61158
Progresso (T7): 90.00%	ODs: 8250/10000(083%)	Tempo: 23.90014
Progresso (T1): 90.00%	ODs: 8375/10000(084%)	Tempo: 23.97479
Progresso (T8): 90.00%	ODs: 8500/10000(085%)	Tempo: 24.00111
Progresso (T3): 90.00%	ODs: 8625/10000(086%)	Tempo: 24.22070
Progresso (T4): 90.00%	ODs: 8750/10000(088%)	Tempo: 24.47208
Progresso (T5): 90.00%	ODs: 8875/10000(089%)	Tempo: 24.59309
Progresso (T6): 90.00%	ODs: 9000/10000(090%)	Tempo: 24.72168
Progresso (T2): 100.00%	ODs: 9125/10000(091%)	Tempo: 26.02219
		Fim: T2
Progresso (T7): 100.00%	ODs: 9250/10000(093%)	Tempo: 26.36530
		Fim: T7
Progresso (T1): 100.00%	ODs: 9375/10000(094%)	Tempo: 26.49837
		Fim: T1
Progresso (T8): 100.00%	ODs: 9500/10000(095%)	Tempo: 26.57111
		Fim: T8
Progresso (T3): 100.00%	ODs: 9625/10000(096%)	Tempo: 26.84534
		Fim: T3
Progresso (T4): 100.00%	ODs: 9750/10000(098%)	Tempo: 26.99482
		Fim: T4
Progresso (T5): 100.00%	ODs: 9875/10000(099%)	Tempo: 27.07563
		Fim: T5
Progresso (T6): 100.00%	ODs: 10000/10000(100%)	Tempo: 27.20173
		Fim: T6

Quantidade de rotas: 10000
Status: Found Qtd.: 9993
Status: SourceAndTargetAreToCloseToCollapse Qtd.: 7
Tempo decorrido para Collapse para 150 metros = 213.574498741667
para o arquivo: Mumbai-network-osm-2019-1_2

