Iniciando BruteForce:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 150
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T7): 10.00%	ODs: 125/10000(001%)	Tempo: 109.80283
Progresso (T1): 40.00%	ODs: 3250/10000(033%)	Tempo: 534.70318
Progresso (T3): 40.00%	ODs: 3375/10000(034%)	Tempo: 542.55989
Progresso (T5): 40.00%	ODs: 3500/10000(035%)	Tempo: 549.09920
Progresso (T7): 40.00%	ODs: 3625/10000(036%)	Tempo: 565.43176
Progresso (T8): 40.00%	ODs: 3750/10000(038%)	Tempo: 575.10525
Progresso (T6): 40.00%	ODs: 3875/10000(039%)	Tempo: 591.39878
Progresso (T4): 40.00%	ODs: 4000/10000(040%)	Tempo: 608.79090
Progresso (T1): 50.00%	ODs: 4125/10000(041%)	Tempo: 658.42549
Progresso (T2): 50.00%	ODs: 4250/10000(043%)	Tempo: 672.89618
Progresso (T3): 50.00%	ODs: 4375/10000(044%)	Tempo: 677.47834
Progresso (T6): 50.00%	ODs: 4500/10000(045%)	Tempo: 681.55057
Progresso (T5): 50.00%	ODs: 4625/10000(046%)	Tempo: 682.14723
Progresso (T7): 50.00%	ODs: 4750/10000(048%)	Tempo: 694.53552
Progresso (T8): 50.00%	ODs: 4875/10000(049%)	Tempo: 702.96270
Progresso (T4): 50.00%	ODs: 5000/10000(050%)	Tempo: 743.21972
Progresso (T1): 60.00%	ODs: 5125/10000(051%)	Tempo: 761.74969
Progresso (T2): 60.00%	ODs: 5250/10000(053%)	Tempo: 788.62805
Progresso (T6): 60.00%	ODs: 5375/10000(054%)	Tempo: 812.34255
Progresso (T3): 60.00%	ODs: 5500/10000(055%)	Tempo: 818.04858
Progresso (T8): 60.00%	ODs: 5625/10000(056%)	Tempo: 831.47195
Progresso (T5): 60.00%	ODs: 5750/10000(058%)	Tempo: 846.50014
Progresso (T7): 60.00%	ODs: 5875/10000(059%)	Tempo: 846.75586
Progresso (T4): 60.00%	ODs: 6000/10000(060%)	Tempo: 873.47596
Progresso (T1): 70.00%	ODs: 6125/10000(061%)	Tempo: 879.31569
Progresso (T2): 70.00%	ODs: 6250/10000(063%)	Tempo: 920.82444
Progresso (T3): 70.00%	ODs: 6375/10000(064%)	Tempo: 935.73643
Progresso (T8): 70.00%	ODs: 6500/10000(065%)	Tempo: 968.71667
Progresso (T6): 70.00%	ODs: 6625/10000(066%)	Tempo: 973.07026
Progresso (T4): 70.00%	ODs: 6750/10000(068%)	Tempo: 990.36146
Progresso (T5): 70.00%	ODs: 6875/10000(069%)	Tempo: 993.28482
Progresso (T7): 70.00%	ODs: 7000/10000(070%)	Tempo: 993.75903
Progresso (T3): 80.00%	ODs: 7125/10000(071%)	Tempo: 1045.43838
Progresso (T1): 80.00%	ODs: 7250/10000(073%)	Tempo: 1050.62743
Progresso (T2): 80.00%	ODs: 7375/10000(074%)	Tempo: 1076.45744
Progresso (T6): 80.00%	ODs: 7500/10000(075%)	Tempo: 1091.91325
Progresso (T8): 80.00%	ODs: 7625/10000(076%)	Tempo: 1109.94668
Progresso (T4): 80.00%	ODs: 7750/10000(078%)	Tempo: 1120.91649
Progresso (T5): 80.00%	ODs: 7875/10000(079%)	Tempo: 1139.40380
Progresso (T7): 80.00%	ODs: 8000/10000(080%)	Tempo: 1148.31448
Progresso (T3): 90.00%	ODs: 8125/10000(081%)	Tempo: 1171.41438
Progresso (T6): 90.00%	ODs: 8250/10000(083%)	Tempo: 1179.81655
Progresso (T1): 90.00%	ODs: 8375/10000(084%)	Tempo: 1190.32020
Progresso (T2): 90.00%	ODs: 8500/10000(085%)	Tempo: 1207.51958
Progresso (T4): 90.00%	ODs: 8625/10000(086%)	Tempo: 1227.57294
Progresso (T8): 90.00%	ODs: 8750/10000(088%)	Tempo: 1272.21934
Progresso (T5): 90.00%	ODs: 8875/10000(089%)	Tempo: 1287.47711
Progresso (T3): 100.00%	ODs: 9000/10000(090%)	Tempo: 1310.94090
		Fim: T3
Progresso (T7): 90.00%	ODs: 9125/10000(091%)	Tempo: 1313.36935
Progresso (T6): 100.00%	ODs: 9250/10000(093%)	Tempo: 1331.73611
		Fim: T6
Progresso (T2): 100.00%	ODs: 9375/10000(094%)	Tempo: 1337.71668
		Fim: T2
Progresso (T1): 100.00%	ODs: 9500/10000(095%)	Tempo: 1351.25596
		Fim: T1
Progresso (T4): 100.00%	ODs: 9625/10000(096%)	Tempo: 1374.17244
		Fim: T4
Progresso (T8): 100.00%	ODs: 9750/10000(098%)	Tempo: 1406.67154
		Fim: T8
Progresso (T5): 100.00%	ODs: 9875/10000(099%)	Tempo: 1420.43071
		Fim: T5
Progresso (T7): 100.00%	ODs: 10000/10000(100%)	Tempo: 1433.40047
		Fim: T7

Quantidade de rotas: 10000
Status: Found Qtd.: 10000
Tempo decorrido para BruteForce para 150 metros = 10966.3248094233
para o arquivo: Fortaleza-network-osm-2019-1_1

