Iniciando Collapse:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 200
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T8): 10.00%	ODs: 125/10000(001%)	Tempo: 3.40542
Progresso (T5): 100.00%	ODs: 9375/10000(094%)	Tempo: 37.26579
		Fim: T5
Progresso (T3): 100.00%	ODs: 9500/10000(095%)	Tempo: 37.84281
		Fim: T3
Progresso (T4): 100.00%	ODs: 9625/10000(096%)	Tempo: 38.09341
		Fim: T4
Progresso (T1): 100.00%	ODs: 9750/10000(098%)	Tempo: 38.12477
		Fim: T1
Progresso (T7): 100.00%	ODs: 9875/10000(099%)	Tempo: 38.49050
		Fim: T7
Progresso (T6): 100.00%	ODs: 10000/10000(100%)	Tempo: 38.80425
		Fim: T6

Quantidade de rotas: 10000
Status: Found Qtd.: 9987
Status: SourceAndTargetAreToCloseToCollapse Qtd.: 13
Tempo decorrido para Collapse para 200 metros = 302.57437372
para o arquivo: Mumbai-network-osm-2019-1_2

